keyword,text,target
annihilated,must annihilated,0
annihilated,basically let people work hard money save invest wisely snatch fu,0
annihilated,thanks no offence taken really choice centre left party either,0
annihilated,commonest line naija song become annoying way whyne e dey blow mind please,0
annihilated,quranic verse leader choose qasem soleimani unique moment soldier islam tirelessly foug,0
annihilated,not wrong way aca passed,0
annihilated,get ready picking weapon choice chose lute course thinking 'everything,0
annihilated,actually impossible tell whether dan boris less across brief journalist almost journalist,0
annihilated,zero chance candidate winning next election deluded hard left,0
annihilated,good riddance bad rubbish like 'll saying annihilated fedelection2020 fedelection2020,0
annihilated,like understood yet sh1t policy plus touch,0
annihilated,breast perished name bottle poison make want cry make want,0
annihilated,y'all beautiful delicate tender vampire taejin annihilated tonight,0
annihilated,reminiscing time annihilated pb made look easy 5kg feeling fiine bring gpc,0
annihilated,titan raise trident drink victory annihilated enemy yesterday sent hades,1
annihilated,promise perished name almond make want cry make want curse de,0
annihilated,sne really tryna see get annihilated dm psn bro,0
annihilated,titan raise trident drink victory annihilated enemy yesterday sent hades,1
annihilated,appreciate bbc igbo start expose britain partook biafra genocide millio,1
annihilated,poll mean shit hugh wrong massively effectively vote leave,0
annihilated,pier morgan annihilated simple logic,0
annihilated,pier morgan annihilated simple logic vegan advocacy good morning britain,0
annihilated,pier morgan annihilated simple logic vegan advocacy,0
annihilated,apple perished name adderall pill make want cry make want cur,0
annihilated,win federal judge lifted tro build floodplain change game judge absolutely,0
annihilated,oppenheimer annihilated done referenced mistress death dislike thanos,0
annihilated,lost big team event point pretty nice list like annihilated inside,0
annihilated,'d get annihilated ' miami,1
annihilated,ally u mean annihilated minute look kurd,1
annihilated,pore nose getting annihilated finger 2am,0
annihilated,moment doc ock spidey body realizes spidey holding back fight time pete,0
annihilated,best way describe current emotional state toddler wave pool fine part get annihilated w,0
annihilated,nicki minaj single handedly annihilated male specie day dropped,0
annihilated,answer soo happy not renew season ticket would lost mind di,0
annihilated,machine changed music pretty much annihilated concept live band playing real instrument however machine n,0
annihilated,lsu would annihilated ohio state university could not even dominate wisconsin,0
annihilated,mention florida state team well annihilated everybody played except auburn,0
annihilated,machine changed music pretty much annihilated concept live band playing real instrument however machi,0
annihilated,getting absolutely annihilated hooked tarkov,0
annihilated,disney amp psych rey lo wonder upset w star war,0
annihilated,thot status annihilated,0
annihilated,president trump great president annihilated terrorist risk inti,1
annihilated,think would learned clinton getting annihilated,0
annihilated,antichrist single handedly annihilated american movie industry,0
annihilated,auspol onto theliarfromtheshire manipulation election auspol theliarfromtheshire,0
annihilated,devastating thorough refutation ned flanders ' stream annihilated orthodox straw men,0
annihilated,devastating thorough refutation ned flanders ' stream annihilated orthodox,0
annihilated,maybe current thinking 'll related upcoming title story arc x factor tonally feel,0
annihilated,annihilated graduate broad made call gaud snatched soul bust,0
annihilated,thot status annihilated,0
annihilated,guy annihilated best defense college football lose two game sick,0
annihilated,broke destroyed annihilated shattered ankle abou never,0
annihilated,clown photo left far left joked predator drone strike fake news corespondent dinner c,0
annihilated,lsu best team country start finish season annihilated oklahoma semifinal,0
annihilated,valid total body work matter lsu proved worthy seed,0
annihilated,else perished remained still continue else remained annihilated,0
annihilated,bernie sander coddled politician today get annihilated win nomination,0
annihilation,iran government dominating headline crushing cruel islamic regime purveyor proxy war state sponsored ter,0
annihilation,lot talk violence carried name hindu cow vigilante lynching extremely,0
annihilation,x u navy e 6bs airborne probably nothing imminent global annihilation,0
annihilation,deflecting issue discouraging statistic bengali hindu f,0
annihilation,want u like annihilation,0
annihilation,loved hated uncutgems like several movie recently evoked clockwork orange grotesque compelling uncutgems,0
annihilation,surajmal bhau somehow forged alliance would hv resulted annihilation ummah,1
annihilation,annihilation,0
annihilation,anyone know official site oppose total annihilation south africa new health system reform,1
annihilation,two alien race go war earth caught middle,0
annihilation,strangest part palpable disappointment no longer rely public fund year austerity,0
annihilation,like iran iraq war root mutual annihilation,1
annihilation,need political autonomy nothing less prevent demographic annihilation,1
annihilation,terrible high elf shortsword annihilation,0
annihilation,simple arab rejected hand un partition plan instead waged war,1
annihilation,russia blame trump iran strike impeachment trump annihilation iranian general present decen,1
annihilation,complete nuclear annihilation except pop back happening,1
annihilation,know movie oscar year annihilation,0
annihilation,annihilation,0
annihilation,biggest f chat film twitter fake cat trailer w annihilation score dubbed,0
annihilation,nexus araphym darkening part horror paranormal ebook novelette e h james thing standing,0
annihilation,dying salvation dedication no capitulation annihilation papal commendation reincarnation heaven,0
annihilation,watch thing scam wick really start party annihilation,0
annihilation,nexus araphym darkening part horror paranormal ebook novelette e h james thing,0
annihilation,data assimilation agent based model using creation annihilation operator,0
annihilation,happy see people regaining conscience afterall soul ca not stand watch,0
annihilation,new annihilation ft tragedy khadafi p sway amp grand surgeon djkool real king trap vol h,0
annihilation,annihilation one favs,0
annihilation,starting annihilation rn first time somehow,0
annihilation,need survive practice faith think hindu genocide,1
annihilation,also need survive practice faith think hindu gen,1
annihilation,speaking atrocity annihilation christian across middle east committed muslim daily sat sat,1
annihilation,yeah surprised heard first another gem electronic score,0
annihilation,not understand systemic oppression cost oppressed total complete anni,0
annihilation,dont get bias flipping short annihilation incoming,0
annihilation,annihilation hulu,0
annihilation,not yet see danger lurking hastening annihilation n,0
apocalypse,weekend drove burned landscape big bag sweet potato roos severit,0
apocalypse,no amount sci fi medium could prepared aspect climate apocalypse,1
apocalypse,four horseman apocalypse,0
apocalypse,two day long two day done stage bravo free ki,0
apocalypse,never understand smell girl perfume last sec meanwhile boy go apocalypse st,0
apocalypse,apocalypse happens want army follower team everyone heelys hundred,0
apocalypse,no amount sci fi medium could prepared aspect climate apocalypse,1
apocalypse,eskenfilme kauft einen ford falcon und viel sprit die apocalypse kommt ohne tempolimit eskenfilme,0
apocalypse,euroleague bet365 με unit,0
apocalypse,apocalypse coming,1
apocalypse,like review apocalypsecow fair monbiot view apocalypsecow,0
apocalypse,ancient viking runestone warning 'ragnarok ' apocalypse predicts extreme climate change,1
apocalypse,also made think life basically like calm foreground inferno horizon people w,0
apocalypse,really not nice night outside moment expect four rider apocalypse arrive,0
apocalypse,apocalypse,0
apocalypse,,0
apocalypse,yea let honest kid value pretty much game see roblox 'll play whatever f,0
apocalypse,veganuary tried one v burger today pick falafel burger lettuce pickled sla veganuary,0
apocalypse,francis ford coppola dennis hopper set apocalypse,0
apocalypse,lately 've thinking miriam rose ungunmerr baumann gerard manley hopkins tell,0
apocalypse,common sense twitter first sign apocalypse look great,1
apocalypse,image bibliques apocalypse 21Cute lechrist leseigneur autorité jésuschrist dieu larédemption lechrist leseigneur autorité jésuschrist dieu larédemption,0
apocalypse,jam setting son carter usm something jimmy page outrider nirvana nevermind gun n rose appetite,0
apocalypse,pandémie apocalypse soupir soupir,0
apocalypse,chodzi ci apocalypse,0
apocalypse,prophesied jesus savior44 prophesies say sign time apocalypse like th savior44,0
apocalypse,apocalypse chic,0
apocalypse,join chum month improvised apocalypse movie would like see world e,0
apocalypse,important notice global warming apocalypse scheduled postponed meme politics memes politics,1
apocalypse,texsch literally caused apocalypse invalid,0
apocalypse,marcelito pomoy nakaka proud,0
apocalypse,inbefore xenobota cause apocalypse,0
apocalypse,going place zombie apocalypse happens,1
apocalypse,damn finally dreamt real apocalypse short dream half dream came rea,0
apocalypse,thrilling amusing read british fantasy society game changer apocalypse author mark kirkb,0
apocalypse,survived london rush hour tube ride basically like surviving zombie apocalypse,1
apocalypse,gta zombie apocalypse mod survival gta mod 2,0
apocalypse,gta zombie apocalypse mod beginning end gta mod 1,0
apocalypse,wear zombie apocalypse zombie survival guide,0
apocalypse,day post apocalyptic lance really want share everything best buddy apocalypse mean hard time,1
apocalypse,remember said created god image think u creating often biblical apocalypse,0
apocalypse,apocalypse deathknight worldofwarcraft deathknight worldofwarcraft,0
apocalypse,greta thunberg please no phjotos dont want fjamous want save small windmill town frjom climjate apo,0
armageddon,armageddon wheelie bin,0
armageddon,arm armageddon part freezing,0
armageddon,disgusted no word good reason separation church state pro,0
armageddon,new music dj joenel feat ajebo hustler dr barz amp dan dizzy armageddon,0
armageddon,new music dj joenel feat ajebo hustler dr barz amp dan dizzy armageddon,0
armageddon,white saw trump riding golden horse alongside jesus armageddon not claim expert jesus,0
armageddon,pitch black 30am mallacoota people fled australianfires seeking shelter beac,0
armageddon,kind insanity separation church amp state no word level craziness prof,0
armageddon,pitch black 30am mallacoota people fled australianfires seeking shelter b,0
armageddon,saw trump riding golden horse alongside jesus armageddon snorting looking attention,0
armageddon,true jesus usually ride harley armageddon picknicks,0
armageddon,getter robo armageddon,0
armageddon,white saw trump riding golden horse alongside jesus armageddon business standard news,0
armageddon,65rt thanks,0
armageddon,grew 70 ryouma love much also love armageddon ryouma new getter ryouma,0
armageddon,ever thought making another spawn game like spawn armageddon back day,0
armageddon,glad going make domestic flight cheaper everyone increasing amount co2 air,0
armageddon,say 'll see armageddon soon certainly hope sure could use vacation stupid shit,0
armageddon,music dj joenel armageddon ft ajebo hustler dr barz amp dan dizzy,0
armageddon,chose one bush cheney puppet trump penny putin pompeo,0
armageddon,white saw trump riding golden horse alongside jesus armageddon,0
armageddon,hold wealth power privilege due defective money system humani,0
armageddon,white saw trump riding golden horse alongside jesus armageddon,0
armageddon,reason jesus would riding along side trump would show gate hell w,0
armageddon,sound strikingly similar worm armageddon cd,0
armageddon,chick clearly need glass saw golden horse as walking jesus armageddon,0
army,story caught eye davinder singh saga get curiouser curiouser deep state much answ,0
army,army challenge name bts song top head separately forget reply using boywithl boywithl,0
army,army privilege able call album sold 4m copy flop think thats beautiful,0
army,batch donation army second batch donation already given philippine red cross ha,0
army,today pak army soldier b thanking indian army indian army not carry deadly strike neelum valle,1
army,ca not even imagine chaos army twitter bts member announced suddenly getting married,0
army,army tired also army waiting 6pm kst get something later sure btsarmy b btsarmy b,0
army,army challenge retweets reply vote btsarmy bestfanarmy iheartaward btsarmy bestfanarmy iheartaward,0
army,weverse official bts suga army zip bts cinema interview amp gallery perfect man actor suga suga,0
army,weverse official special gift army bts jimin,0
army,jama masjid pak judge rebuke cop bhim army case ndtvnewsbeeps bhimarmy ndtvnewsbeeps bhimarmy,1
army,people army kill people everyday get sent home no jail time,0
army,get army card premium,0
army,reply minute army boywithluv bestmusicvideo iheartawards boywithluv bestmusicvideo iheartawards,0
army,max talk fan amp jungkook singing song mention army sending flower,0
army,weverse official bts v army zip bts cinema movie poster neo noir filled unexpected plot twist shocki,0
army,iheartradio music award rt 1票 best fan army btsarmy bestfanarmy iheartawards btsarmy bestfanarmy iheartawards,0
army,taehyung army zip photo drop later tangenaa ughh,0
army,forced develop locally made missile fired apache helicopter obama halted sale israel israel,1
army,remember army used google translate ask excited go korea messed said horn,0
army,j hope 'chicken noodle soup feat becky g ' mv passed million view iheartsawards bestfanarmy iheartsawards bestfanarmy,0
army,army zip drop connect bts run damn,0
army,new brother suga,0
army,remember army room full bts universe theory,0
army,want remind still think army made saying jungkook meet,0
army,v weverse army everyone please help philippine army v heart ache nowadays hope nobody,0
army,one wrote post weverse glad many army able see awareness wh,0
army,shazam important ph army feel free dm u question teamw,0
army,avalanche hit army amp bsf post jawan rescued jawan still missing bad weather hamper rescue operation,1
army,weverse official special gift army bts suga,0
army,taehyung army zip photo one hour dunno survive,0
army,video groom philippine danced medley song friend wedding new br,0
army,remember yoongi replied army english read tiny english voice devastate,0
army,army year bighit acquire,0
army,army detective found bighit created website connect_bts not yet confimed link web connect_bts,0
army,indonesia army huge please vote boywithluv bestmusicvideo iheartawards boywithluv bestmusicvideo iheartawards,0
army,groom philippine decided give wife army kpop fan medly bts song honestly,0
army,pre order untuk map soul oleh army china telah mencapai copy gilee gilee bestfanarmy btsarmy bestfanarmy btsarmy,0
army,taehyung army zip photo come today absolutely shitting,0
army,nw still funniest sht ever,0
army,abbott green army vision,0
army,weverse official special gift army bts v,0
army,tell u also give military name,0
army,one man army thala ajith 19yearsofdheena 19yearsofdheena,0
army,two gender emasculated literally army,0
army,medium cosmopolitan philippine wrote article taehyung sending prayer affected,0
army,decided tonight love forever army forever,0
army,latest update pre order map soul china army reached copy via 咖泰亨 baidu tieba be,0
army,vicious nasty vindictive abusive digital army launched twitter attack satyanadella not yet mi satyanadella,0
army,baby army experience outcast bc honestly one best time army twitter every single day,0
army,finding ph army finding ph army finding ph army finding ph army finding ph army finding ph army,0
army,weverse official bts jimin army zip bts cinema interview amp gallery young forever mono actor,0
army,brutal provocative statement dgispr already butchered butchered forc,1
army,congratulation j hope 130m view cns let stream much hobi bir,0
army,matter bts amp army rm mentioned abt,0
army,whenever surgical strike happen not believe army stand even pm statement keep asking e,1
army,army everyone help philippine army please prayforthephilippines v heart hurt lot plea prayforthephilippines,0
army,latest bloodshot trailer vin diesel rebelling army super soldier via bloodshot,0
army,아미 사랑꾼들 어떻게 안사랑해 ㅠㅠ connect army iheartawards btsarmy bestfanarmy iheartawards btsarmy bestfanarmy,0
arson,bernie warren two progressive presidential candidate generation remind,0
arson,firefighter let jail despite iserious sex offense ' arrested starting fire australia,1
arson,australia since one image say arson as total denier bollock australianbushfiredisaster australianbushfiredisaster,0
arson,funny not australian authority investigated nearly people arson already charged,1
arson,interesting posted caustic tweet failing morrison government pauline hanson newspoll came newspoll,0
arson,please least try research first speak lighting human started aussie fire,0
arson,believe credible current information arsonist,1
arson,climate change arson jihad look behind australian wildfire,1
arson,yr old imagine jnu student burning u flag yale student xtian amp muslm name ch jnu,1
arson,per cent land burnt nsw bushfire season officially attribu,1
arson,arson bastardry co ordinated global green scheme convince world co2 causing global warming,0
arson,not know hon judge get carried away stuck law no one den,0
arson,arson failure enact controlled burning easy,0
arson,viral false claim nearly arsonist behind australia fire explained hannity,1
arson,no plain hard fact australia always fire tony heller,0
arson,people arrested arson,1
arson,number message saying medium ignoring arson major cause australia bushfire crisis,0
arson,newscorp digging deeper adverse publicity coverage bushfires insistence concentrating arson backbur,0
arson,inquiry show alarming increase numb,0
